City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,prince rupert,54.3161,-130.3201,287.2,51,75,9.77,CA,1683863119
221,benghazi,32.1167,20.0667,291.12,80,3,4.18,LY,1683863120
222,kindu,-2.95,25.95,295.53,91,100,0.85,CD,1683863121
223,novobod,39.0108,70.1508,292.14,45,95,1.45,TJ,1683863121
224,kokkola,63.8385,23.1307,281.44,75,0,3.09,FI,1683862968
225,puerto ayora,-0.7393,-90.3518,299.57,96,44,3.13,EC,1683863123
226,tolanaro,-25.0319,46.9987,296.19,94,40,6.17,MG,1683863123
227,yanam,16.7333,82.2167,306.5,52,100,0.77,IN,1683863109
228,villa rica,33.7321,-84.9191,294.93,82,96,1.95,US,1683863125
229,lodja,-3.4833,23.4333,294.94,79,91,0.89,CD,1683863125
230,afaahiti,-17.75,-149.2833,300.08,94,100,10.98,PF,1683863126
231,westport,41.1415,-73.3579,292.14,73,0,1.54,US,1683863127
232,andergrove,-21.0833,149.1833,298.51,75,10,7.55,AU,1683863128
233,remire-montjoly,4.9167,-52.2667,296.17,100,100,0.0,GF,1683863128
234,mayna,54.1135,47.6231,283.57,64,100,5.19,RU,1683863129
235,labuan bajo,-8.4964,119.8877,304.17,53,53,1.93,ID,1683863130
236,'ain el hadjar,34.7585,0.1453,284.78,79,46,1.96,DZ,1683863130
237,tynda,55.1667,124.7167,282.84,60,100,2.86,RU,1683863131
238,jaguaruna,-28.615,-49.0256,287.03,81,55,3.83,BR,1683863121
239,praia da vitoria,38.7333,-27.0667,290.24,100,75,3.06,PT,1683863132
240,sidney,-33.8679,151.2073,296.83,55,20,3.09,AU,1683862885
241,keflavik,64.0049,-22.5624,283.1,100,100,4.63,IS,1683863134
242,fort mcmurray,56.7268,-111.381,292.92,30,75,2.06,CA,1683863134
243,alesund,62.4723,6.1549,284.68,94,100,0.0,NO,1683862964
244,valdivia,-39.8142,-73.2459,287.2,96,100,0.67,CL,1683863107
245,luderitz,-26.6481,15.1594,287.89,76,100,12.38,NA,1683863138
246,pudozh,61.8099,36.5345,283.43,58,6,2.15,RU,1683863139
247,la'ie,21.6477,-157.9253,298.77,72,42,3.13,US,1683863140
248,cill airne,52.05,-9.5167,280.85,98,44,1.58,IE,1683863143
249,port alfred,-33.5906,26.891,288.81,98,100,8.35,ZA,1683863144
250,arraial do cabo,-22.9661,-42.0278,295.64,74,96,4.8,BR,1683863145
251,verkhnyaya khava,51.8404,39.9413,282.19,81,84,4.15,RU,1683863146
252,tura,25.5198,90.2201,306.99,34,71,0.57,IN,1683863146
253,saint-remy-les-chevreuse,48.7071,2.0769,283.89,87,0,2.57,FR,1683863147
254,nemuro,43.3236,145.575,280.1,76,15,5.0,JP,1683863148
255,hantsavichy,52.758,26.43,281.35,72,4,1.72,BY,1683863148
256,dhidhdhoo,6.8833,73.1,301.86,76,99,2.79,MV,1683863149
257,touros,-5.1989,-35.4608,298.95,80,90,3.82,BR,1683863150
258,sur,22.5667,59.5289,306.8,40,0,3.41,OM,1683863153
259,uturoa,-16.7333,-151.4333,298.3,87,100,4.91,PF,1683863154
260,mahdia,35.5047,11.0622,289.12,85,79,2.41,TN,1683863156
261,chillan,-36.6066,-72.1034,285.41,75,45,3.48,CL,1683863157
262,thompson,55.7435,-97.8558,284.24,62,20,3.6,CA,1683863158
263,codrington,-38.2667,141.9667,288.36,58,59,3.53,AU,1683863158
264,cidreira,-30.1811,-50.2056,290.09,71,89,4.18,BR,1683863159
265,mount gambier,-37.8333,140.7667,289.12,50,3,2.43,AU,1683863160
266,rawson,-43.3002,-65.1023,289.07,51,100,2.64,AR,1683863160
267,la passe,45.5549,-0.8967,284.81,87,87,1.88,FR,1683863161
268,feijo,-8.1642,-70.3536,296.45,89,94,1.07,BR,1683863162
269,vorgashor,67.5833,63.95,266.64,86,20,3.09,RU,1683863163
270,kapa'a,22.0752,-159.319,299.33,73,40,6.17,US,1683863163
271,pisco,-13.7,-76.2167,293.18,77,100,4.12,PE,1683863166
272,barbalha,-7.3111,-39.3042,297.04,94,0,0.0,BR,1683863167
273,kingston,17.997,-76.7936,300.68,84,20,5.14,JM,1683863168
274,chonchi,-42.6128,-73.8092,285.99,98,100,1.2,CL,1683863168
275,kirakira,-10.4544,161.9205,302.34,74,72,5.47,SB,1683863169
276,timimoun,29.2639,0.231,301.36,15,0,5.14,DZ,1683863170
277,lorengau,-2.0226,147.2712,301.99,77,100,2.24,PG,1683863171
278,neelankarai,12.9455,80.2575,305.18,70,75,3.6,IN,1683863172
279,monticello,45.3055,-93.7941,294.17,83,100,1.54,US,1683863172
280,laojunmiao,39.8333,97.7333,290.45,11,0,3.82,CN,1683863174
281,portland,45.5234,-122.6762,297.14,45,20,1.54,US,1683862992
282,susuman,62.7833,148.1667,278.86,67,99,2.36,RU,1683863176
283,rongelap,11.1635,166.8941,300.83,80,86,7.64,MH,1683863176
284,kenora,49.8167,-94.4337,292.69,45,40,1.54,CA,1683863177
285,sayat,38.7839,63.8803,297.08,24,0,5.89,TM,1683863178
286,betio village,1.358,172.9211,305.17,78,100,5.28,KI,1683863179
287,chaohu,31.6,117.8667,295.93,43,19,2.64,CN,1683863179
288,hit,33.6416,42.8251,301.62,19,0,4.04,IQ,1683863140
289,zaigrayevo,51.8336,108.2703,288.02,24,30,4.12,RU,1683863181
290,saint-philippe,-21.3585,55.7679,295.92,77,94,4.47,RE,1683863080
291,ascension,30.2169,-90.9001,299.26,96,100,0.0,US,1683863182
292,port elizabeth,-33.918,25.5701,288.31,88,0,7.72,ZA,1683863130
293,sukhodol,53.9006,51.2117,285.41,58,100,2.9,RU,1683863183
294,ceerigaabo,10.6162,47.368,292.77,56,100,1.34,SO,1683863184
295,izobil'nyy,45.3709,41.7084,282.73,74,4,1.94,RU,1683863186
296,san rafael,-34.6177,-68.3301,289.02,57,34,2.85,AR,1683862924
297,vila franca do campo,37.7167,-25.4333,289.38,89,100,0.76,PT,1683863187
298,nanao,37.05,136.9667,293.32,46,100,3.92,JP,1683863188
299,akureyri,65.6835,-18.0878,282.11,76,100,9.77,IS,1683863132
300,tshela,-4.9833,12.9333,296.33,99,100,0.59,CD,1683863189
301,grande prairie,55.1667,-118.8027,292.25,34,75,1.03,CA,1683863190
302,jayapura,-2.5333,140.7,306.81,81,100,3.44,ID,1683863191
303,namtsy,62.7161,129.6658,278.62,28,100,3.67,RU,1683863191
304,santo antonio do ica,-3.1022,-67.9397,295.07,99,92,0.29,BR,1683863192
305,areia branca,-4.9561,-37.1369,299.53,75,68,4.11,BR,1683863193
306,riachao das neves,-11.7461,-44.91,295.85,75,100,1.07,BR,1683863193
307,arkhangel'sk,64.5401,40.5433,279.59,82,100,1.22,RU,1683863117
308,margate,51.3813,1.3862,284.19,89,100,4.02,GB,1683863044
309,zhosaly,45.4878,64.0781,299.77,30,10,5.14,KZ,1683863196
310,bamboo flat,11.7,92.7167,302.89,75,98,10.68,IN,1683863197
311,sikasso,10.9167,-7.0,302.39,42,93,3.75,ML,1683863198
312,boca suno,-0.7167,-77.1333,294.64,99,67,0.54,EC,1683863199
313,panacan,9.2463,118.4082,303.58,66,100,2.87,PH,1683863199
314,el granada,37.5027,-122.4694,288.12,83,100,8.75,US,1683863200
315,waingapu,-9.6567,120.2641,301.79,61,88,6.79,ID,1683863201
316,la sarre,48.8002,-79.1996,283.98,98,81,2.7,CA,1683863201
317,nelson bay,-32.7167,152.15,295.18,73,0,3.13,AU,1683863202
318,williams lake,52.1415,-122.1445,292.91,27,20,1.54,CA,1683863203
319,minas de marcona,-15.2119,-75.1103,287.2,88,40,3.6,PE,1683863203
320,colonia,50.9333,6.95,286.46,93,100,1.54,DE,1683863204
321,klyuchi,52.2667,79.1667,287.65,41,96,3.55,RU,1683863205
322,crane,31.3974,-102.3501,297.36,12,1,1.6,US,1683863205
323,katsuura,35.1333,140.3,291.11,53,96,3.18,JP,1683863206
324,khorixas,-20.3667,14.9667,293.19,39,100,0.37,NA,1683863207
325,hat yai,7.0084,100.4767,307.25,62,20,3.09,TH,1683863208
326,enriquillo,17.9,-71.2333,297.96,84,8,3.89,DO,1683863208
327,konarka,19.9,86.1167,304.37,58,100,3.92,IN,1683863209
328,tazacorte,28.629,-17.9293,292.69,92,100,5.66,ES,1683863210
329,porkhov,57.765,29.5561,284.42,60,97,1.12,RU,1683863210
330,ixtapa,20.7,-105.2,295.8,62,6,1.32,MX,1683863211
331,calatayud,41.3535,-1.6432,281.79,82,35,1.67,ES,1683863134
332,florence,43.7667,11.25,286.24,98,75,0.51,IT,1683862970
333,saurimo,-9.6608,20.3916,287.19,57,4,1.96,AO,1683863214
334,laguna,38.421,-121.4238,293.31,60,0,4.12,US,1683863215
335,saint-joseph,-21.3667,55.6167,295.36,73,97,4.08,RE,1683863215
336,nova sintra,14.8667,-24.7167,292.71,83,7,7.36,CV,1683863216
337,bandundu,-3.3167,17.3667,297.17,84,73,0.44,CD,1683863217
338,port blair,11.6667,92.75,302.79,75,100,10.73,IN,1683863218
339,kijang,35.2442,129.2139,295.0,60,100,1.68,KR,1683863218
340,mana,5.6592,-53.7767,298.17,90,100,3.14,GF,1683863219
341,paramonga,-10.6667,-77.8333,294.74,85,99,3.37,PE,1683863220
342,olbia,40.9214,9.4856,286.18,76,0,3.6,IT,1683862949
343,pitea,65.3172,21.4794,283.2,75,42,2.67,SE,1683863221
